projects,category,stars,commits,LOC
https://github.com/wwadge/bonecp,database,543,579,17504
https://github.com/dropwizard/metrics,monitoring,6967,2626,24841
https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server,security,1165,2704,73467
https://github.com/yahoo/mysql_perf_analyzer,performance,1388,47,48000
https://github.com/apache/giraph,graph,546,1111,112966
https://github.com/searchbox-io/Jest,database,1935,1147,23581
https://github.com/PebbleTemplates/pebble,template engine,778,1163,21358
https://github.com/larsgeorge/hbase-book,database,836,356,122718
https://github.com/jOOQ/jOOQ,database,3781,8570,2030086
https://github.com/xiaomoinfo/SpringBootUnity,framework,815,608,13964
https://github.com/apache/bookkeeper,storage,930,2252,233708
https://github.com/atilika/kuromoji,code analysis,688,431,14160
https://github.com/scribejava/scribejava,security,5021,1143,12102
https://github.com/hibernate/hibernate-validator,validator,752,4100,97887
https://github.com/fengjiachun/Jupiter,framework,1145,1739,30955
https://github.com/tinkerpop/gremlin,graph,1834,1227,33689
https://github.com/shuzheng/zheng,framework,15283,1241,93064
https://github.com/twitter/hbc,http client,860,241,6281
https://github.com/apache/carbondata,storage,1041,4528,262335
https://github.com/flyingsaucerproject/flyingsaucer,pdf,1448,2818,105263
https://github.com/Percy0601/boot-dubbo,networking,344,25,1856
https://github.com/im-qq/netty-chat,messaging,469,52,4650
https://github.com/abel533/Mapper,database,5449,700,20746
https://github.com/yandex-qatools/htmlelements,testing framework,248,479,5596
https://github.com/modelmapper/modelmapper,bean mapping,1472,639,26091
https://github.com/kiegroup/drools,rule engine,2915,12534,627826
https://github.com/bazaarvoice/jolt,json,926,392,20165
https://github.com/antlr/antlr4,natural language propocssing,7624,7441,155643
https://github.com/kennycason/kumo,cloud application,408,233,5999
https://github.com/vladmihalcea/high-performance-java-persistence,orm,680,703,62396
https://github.com/caelum/vraptor4,framework,343,3761,38331
https://github.com/kenglxn/QRGen,application,1177,301,3722
https://github.com/Graylog2/graylog2-server,logging,5285,16563,204490
https://github.com/jersey/jersey,rest frameworks,2917,3167,319593
https://github.com/thinkaurelius/titan,graph database,5036,4434,245128
https://github.com/quartz-scheduler/quartz,scheduler,3593,758,54068
https://github.com/joshlong/boot-examples,networking,223,52,1979
https://github.com/ralfstx/minimal-json,json,657,189,8254
https://github.com/google/MOE,sync,364,259,16852
https://github.com/pac4j/pac4j,security,1789,2625,40060
https://github.com/larsga/Duke,database,577,637,18959
https://github.com/robovm/robovm,build,1620,2823,1745976
